context,object_category,emotion,hex,r,g,b,saturation,brightness,mood_score
foggy mountain trail,underground,excited,#D0143F,208,20,63,0.39,0.8,0.5
mossy cave,artificial-light,intense,#9E2849,158,40,73,0.87,0.11,0.49
neon arcade room,concrete,intense,#42C1AA,66,193,170,0.32,0.57,0.82
enchanted garden,cyber,intense,#E2DB36,226,219,54,0.43,0.74,0.69
sunrise beach,coast,serene,#D811A2,216,17,162,0.33,0.37,0.94
quiet meadow,artificial-light,dark,#173227,23,50,39,0.75,0.24,0.64
ancient temple,coast,energetic,#DBBB2B,219,187,43,0.12,0.73,0.53
quiet meadow,cave,warm,#40829B,64,130,155,0.7,0.24,0.95
desert highway,market,dark,#A5BCF4,165,188,244,0.88,0.58,0.53
old library,sand,playful,#D492C3,212,146,195,0.41,0.93,0.81
crystal cavern,urban,excited,#7AB95A,122,185,90,0.86,0.96,0.96
desert highway,garden,energetic,#069DF1,6,157,241,0.2,0.82,0.46
sunrise beach,concrete,peaceful,#FD30D9,253,48,217,0.39,0.35,0.52
abandoned railway,underground,intense,#D1B653,209,182,83,0.6,0.56,0.9
quiet meadow,underground,calm,#DBBBB7,219,187,183,0.3,0.34,0.67
futuristic lab,wood,serene,#EF3B7D,239,59,125,0.52,0.48,0.73
quiet meadow,market,excited,#2D966F,45,150,111,0.21,0.54,0.38
sunrise beach,crystal,excited,#147D8F,20,125,143,0.78,0.81,0.53
quiet meadow,lab,focused,#581EE4,88,30,228,0.43,0.85,0.53
mossy cave,underground,mysterious,#2D6398,45,99,152,0.63,0.63,0.65
dilapidated warehouse,garden,melancholic,#35CA35,53,202,53,0.83,0.56,0.59
neon arcade room,urban,playful,#EA93D1,234,147,209,0.77,0.48,0.42
rainy night market,fog/mist,romantic,#64E994,100,233,148,0.26,0.75,0.82
abandoned railway,artificial-light,peaceful,#3BED2D,59,237,45,0.57,0.58,0.86
abandoned railway,metal/rust,focused,#D2C0BE,210,192,190,0.76,0.22,0.36
abandoned railway,grassland,mysterious,#F3ECAA,243,236,170,0.27,0.96,0.7
desert highway,wood,warm,#0F6632,15,102,50,0.58,0.3,0.94
desert highway,cyber,serene,#D369CF,211,105,207,0.24,0.27,0.97
foggy mountain trail,metal/rust,focused,#0BA6FE,11,166,254,0.9,0.87,0.52
mossy cave,crystal,excited,#EA6F2D,234,111,45,0.85,0.31,0.59
crystal cavern,sand,dark,#015B3A,1,91,58,0.92,0.41,0.51
futuristic lab,sand,serene,#EEABFE,238,171,254,0.69,0.64,0.91
urban rooftop,urban,warm,#5E03B4,94,3,180,0.28,0.84,0.5
enchanted garden,metal/rust,energetic,#24FB44,36,251,68,0.18,0.6,0.95
enchanted garden,stone,energetic,#D13CD9,209,60,217,0.34,0.99,0.39
rainy night market,lab,dark,#52AF05,82,175,5,0.45,0.81,0.59
mossy cave,crystal,peaceful,#9D225E,157,34,94,0.58,0.25,0.68
dilapidated warehouse,artificial-light,dark,#03C6B4,3,198,180,0.79,0.96,0.94
mossy cave,nature,melancholic,#64B584,100,181,132,0.61,0.62,0.67
quiet meadow,wood,intense,#6ADA3A,106,218,58,0.45,0.57,0.72
cyberpunk alley,cyber,intense,#B42417,180,36,23,0.66,0.16,0.68
enchanted garden,stone,serene,#C13405,193,52,5,0.26,0.97,0.73
crystal cavern,stone,focused,#A36482,163,100,130,0.63,0.15,0.88
futuristic lab,fog/mist,intense,#083D58,8,61,88,0.77,0.5,0.85
foggy mountain trail,rain,nostalgic,#DF82ED,223,130,237,0.78,0.55,0.46
abandoned railway,grassland,serene,#07FD2A,7,253,42,0.45,0.88,0.7
neon arcade room,coast,dark,#C6B0F2,198,176,242,0.3,0.95,0.33
urban rooftop,artificial-light,dark,#EDD2C6,237,210,198,0.59,0.22,0.86
old library,lab,lonely,#D6E6EA,214,230,234,0.25,0.6,0.5
futuristic lab,nature,mysterious,#3A949B,58,148,155,0.86,0.76,0.7
old library,lab,warm,#950050,149,0,80,0.92,0.9,0.76
desert highway,metal/rust,intense,#D3DECF,211,222,207,0.66,0.15,0.94
crystal cavern,underground,lonely,#D126EF,209,38,239,0.98,0.11,0.56
abandoned railway,metal/rust,mysterious,#460ADD,70,10,221,0.64,0.74,0.52
stormy coastline,artificial-light,serene,#878F1B,135,143,27,0.77,0.52,0.36
neon arcade room,underground,warm,#521F7C,82,31,124,0.78,0.93,0.73
stormy coastline,fog/mist,melancholic,#9FD554,159,213,84,0.41,0.45,0.77
old library,stone,romantic,#847DA5,132,125,165,0.59,0.49,0.71
abandoned railway,underground,excited,#CB5894,203,88,148,0.2,0.72,0.36
enchanted garden,rain,peaceful,#B87C1E,184,124,30,0.93,0.88,0.78
sunrise beach,garden,energetic,#8AD90F,138,217,15,0.13,0.86,0.8
cyberpunk alley,fog/mist,energetic,#B10A74,177,10,116,0.23,0.92,0.88
sunrise beach,fog/mist,nostalgic,#00CD15,0,205,21,0.24,0.96,0.71
rainy night market,crystal,lonely,#05F4D4,5,244,212,0.29,0.88,0.5
dilapidated warehouse,grassland,focused,#3FF37F,63,243,127,0.64,0.35,0.89
urban rooftop,underground,serene,#6ACDAE,106,205,174,0.81,0.87,0.58
enchanted garden,coast,serene,#8AD55A,138,213,90,0.84,0.9,0.31
cyberpunk alley,coast,warm,#D58973,213,137,115,0.97,0.98,0.74
enchanted garden,concrete,excited,#FF7216,255,114,22,0.55,0.77,0.93
foggy mountain trail,sand,mysterious,#6A79B2,106,121,178,0.51,0.41,0.4
stormy coastline,temple,calm,#D3736C,211,115,108,0.85,0.79,0.93
old library,crystal,happy,#87CAAB,135,202,171,0.93,0.84,0.94
old library,temple,melancholic,#2FC8C3,47,200,195,0.16,0.55,0.34
forest shrine,coast,melancholic,#4CC781,76,199,129,0.31,0.56,0.4
enchanted garden,underground,intense,#4F1706,79,23,6,0.61,0.23,0.75
crystal cavern,lab,warm,#FF0A9B,255,10,155,0.14,0.36,0.38
dilapidated warehouse,stone,calm,#F61B74,246,27,116,0.14,1.0,0.62
mossy cave,cyber,mysterious,#F2FFF9,242,255,249,0.18,0.88,0.76
crystal cavern,metal/rust,energetic,#43D43B,67,212,59,0.42,0.11,0.7
foggy mountain trail,market,peaceful,#BED799,190,215,153,0.55,0.98,0.48
crystal cavern,coast,peaceful,#647594,100,117,148,0.47,0.31,0.37
foggy mountain trail,wood,playful,#BFD725,191,215,37,0.76,0.4,0.64
enchanted garden,grassland,happy,#BD0B2C,189,11,44,0.44,0.64,0.73
rainy night market,concrete,playful,#28E1B5,40,225,181,0.9,0.87,0.47
lantern-lit street,crystal,mysterious,#074919,7,73,25,0.21,0.99,0.67
forest shrine,nature,serene,#8DDDC8,141,221,200,0.28,1.0,0.42
neon arcade room,stone,warm,#B902AC,185,2,172,0.87,0.22,0.99
mossy cave,fog/mist,melancholic,#DE3AF8,222,58,248,0.94,0.19,0.56
enchanted garden,crystal,happy,#8B09FC,139,9,252,0.54,0.45,0.93
crystal cavern,sand,energetic,#49CE10,73,206,16,0.96,0.1,0.8
crystal cavern,concrete,peaceful,#51B212,81,178,18,0.79,0.22,0.42
ancient temple,cave,mysterious,#4AD077,74,208,119,0.59,0.75,0.35
dilapidated warehouse,lab,energetic,#4A2B17,74,43,23,0.95,0.16,0.58
dilapidated warehouse,grassland,focused,#CA78DF,202,120,223,0.76,0.72,0.78
sunrise beach,sand,happy,#1D4C71,29,76,113,0.55,0.48,0.73
dilapidated warehouse,cyber,energetic,#6269E5,98,105,229,0.82,0.91,0.67
ancient temple,urban,playful,#7DF8A2,125,248,162,0.18,0.15,0.58
quiet meadow,rain,serene,#A49C68,164,156,104,0.53,0.25,0.74
futuristic lab,garden,nostalgic,#2628CD,38,40,205,0.66,0.3,0.57
mossy cave,sand,playful,#F9FDBF,249,253,191,0.26,0.45,0.98
stormy coastline,temple,nostalgic,#D626C1,214,38,193,0.64,0.29,0.88
desert highway,garden,serene,#A323AE,163,35,174,0.16,0.16,0.55
underground bunker,lab,energetic,#7C9466,124,148,102,0.77,0.43,0.57
mossy cave,nature,melancholic,#669D0F,102,157,15,0.34,0.45,0.59
enchanted garden,underground,energetic,#D6A94A,214,169,74,0.15,0.36,0.91
forest shrine,lab,mysterious,#F7437E,247,67,126,0.63,0.17,0.4
futuristic lab,market,lonely,#EB3613,235,54,19,0.49,0.89,0.41
urban rooftop,rain,melancholic,#B9570A,185,87,10,0.86,0.77,0.42
lantern-lit street,wood,mysterious,#6F3918,111,57,24,0.27,0.82,0.52
enchanted garden,underground,excited,#85582F,133,88,47,0.19,0.27,0.49
rainy night market,sand,intense,#3C7CB3,60,124,179,0.77,1.0,0.81
desert highway,cyber,intense,#3A9C9F,58,156,159,0.7,0.51,0.75
sunrise beach,artificial-light,intense,#E85262,232,82,98,0.38,0.44,0.69
cyberpunk alley,stone,excited,#824A36,130,74,54,0.77,0.83,0.96
dilapidated warehouse,concrete,intense,#E6C940,230,201,64,0.26,0.66,0.41
forest shrine,market,nostalgic,#F8E982,248,233,130,0.92,0.48,0.35
ancient temple,sand,intense,#982EDC,152,46,220,0.76,0.11,0.5
foggy mountain trail,artificial-light,happy,#4D4E67,77,78,103,0.51,0.24,0.87
stormy coastline,underground,melancholic,#D4A3A5,212,163,165,0.34,0.35,0.53
dilapidated warehouse,market,calm,#CC3EC8,204,62,200,0.15,0.25,0.86
sunrise beach,cave,intense,#37D6C6,55,214,198,0.99,0.12,0.68
dilapidated warehouse,rain,playful,#A64918,166,73,24,0.94,0.24,1.0
foggy mountain trail,garden,lonely,#3C36BF,60,54,191,0.71,0.85,0.96
cyberpunk alley,cave,intense,#51002C,81,0,44,0.36,0.37,0.86
enchanted garden,market,calm,#270240,39,2,64,0.25,0.75,0.88
desert highway,lab,nostalgic,#08BD6B,8,189,107,0.41,0.96,0.52
sunrise beach,fog/mist,focused,#E6DDBA,230,221,186,0.1,0.13,0.42
stormy coastline,wood,calm,#5B7139,91,113,57,0.9,0.73,0.77
cyberpunk alley,stone,lonely,#A22F4B,162,47,75,0.54,0.83,0.96
neon arcade room,concrete,focused,#D91E19,217,30,25,0.67,0.73,0.49
urban rooftop,metal/rust,warm,#8F4852,143,72,82,0.43,0.92,0.68
abandoned railway,cave,mysterious,#ADC352,173,195,82,0.26,0.29,0.85
stormy coastline,lab,peaceful,#A414EF,164,20,239,0.39,0.19,0.66
sunrise beach,nature,peaceful,#2ABC22,42,188,34,0.86,0.44,0.76
underground bunker,fog/mist,intense,#B6D653,182,214,83,0.31,0.56,0.68
old library,concrete,warm,#E9B262,233,178,98,0.31,0.4,0.36
crystal cavern,coast,melancholic,#0BEE15,11,238,21,0.15,0.6,0.35
forest shrine,wood,lonely,#0C1FCB,12,31,203,0.61,0.88,0.9
dilapidated warehouse,wood,playful,#F3F628,243,246,40,0.68,0.5,0.52
urban rooftop,market,happy,#B75726,183,87,38,0.67,0.59,0.47
cyberpunk alley,metal/rust,warm,#012FBE,1,47,190,0.73,0.37,0.34
mossy cave,market,calm,#6F0D41,111,13,65,0.13,0.85,0.41
dilapidated warehouse,stone,focused,#AF8AAA,175,138,170,0.27,0.52,0.46
enchanted garden,cave,lonely,#0B865E,11,134,94,0.4,0.8,0.31
desert highway,grassland,romantic,#8CBA95,140,186,149,0.26,0.62,0.97
lantern-lit street,metal/rust,warm,#20079D,32,7,157,0.97,0.98,1.0
mossy cave,crystal,calm,#DBC9FB,219,201,251,0.29,0.75,0.91
lantern-lit street,metal/rust,melancholic,#849ECB,132,158,203,0.78,0.9,0.61
enchanted garden,artificial-light,calm,#A4E3D2,164,227,210,0.22,0.98,0.7
crystal cavern,artificial-light,warm,#2167A3,33,103,163,0.86,0.97,0.41
rainy night market,temple,nostalgic,#39C4C4,57,196,196,0.23,0.1,0.89
mossy cave,sand,romantic,#9B7B0D,155,123,13,0.29,0.41,0.95
abandoned railway,crystal,romantic,#6327F2,99,39,242,0.69,0.32,0.61
ancient temple,sand,nostalgic,#598F7C,89,143,124,0.91,0.77,0.37
crystal cavern,stone,melancholic,#0EB716,14,183,22,0.92,0.49,0.42
rainy night market,concrete,romantic,#69950C,105,149,12,0.47,0.16,0.43
futuristic lab,rain,peaceful,#5EBC3D,94,188,61,0.33,0.58,0.42
futuristic lab,coast,serene,#401E80,64,30,128,0.82,0.83,0.82
quiet meadow,cave,serene,#B55CA3,181,92,163,0.81,0.64,0.9
desert highway,artificial-light,playful,#31888F,49,136,143,0.27,0.2,0.98
foggy mountain trail,garden,excited,#E7B05F,231,176,95,0.93,0.36,0.5
sunrise beach,rain,calm,#124108,18,65,8,0.43,0.47,0.71
neon arcade room,cave,melancholic,#BC4E8A,188,78,138,0.43,0.56,0.95
quiet meadow,artificial-light,playful,#9C46BF,156,70,191,0.72,0.53,0.88
lantern-lit street,nature,energetic,#E019CF,224,25,207,0.21,0.14,0.8
desert highway,underground,energetic,#1A8AED,26,138,237,0.79,0.19,0.35
ancient temple,concrete,intense,#846F3A,132,111,58,0.97,0.29,0.76
neon arcade room,nature,excited,#F20327,242,3,39,0.26,0.61,0.61
stormy coastline,urban,happy,#D92A25,217,42,37,0.64,0.6,0.35
underground bunker,sand,nostalgic,#EE136D,238,19,109,0.39,0.61,0.93
forest shrine,concrete,melancholic,#1A4919,26,73,25,0.39,0.78,0.89
ancient temple,concrete,serene,#8AD572,138,213,114,0.18,0.47,0.67
ancient temple,temple,lonely,#C599C3,197,153,195,0.79,0.67,1.0
crystal cavern,underground,serene,#E40471,228,4,113,0.43,0.23,0.95
lantern-lit street,rain,nostalgic,#E485FD,228,133,253,0.45,0.74,0.67
futuristic lab,temple,warm,#C89389,200,147,137,0.51,0.73,0.35
foggy mountain trail,sand,serene,#B6DDDB,182,221,219,0.65,0.69,0.69
mossy cave,market,peaceful,#9C7650,156,118,80,0.22,0.68,0.73
abandoned railway,lab,lonely,#1B4DAE,27,77,174,0.63,0.73,0.69
stormy coastline,grassland,energetic,#FAA962,250,169,98,0.93,0.55,0.43
quiet meadow,lab,calm,#B28E45,178,142,69,0.69,0.11,0.36
desert highway,coast,warm,#C09248,192,146,72,0.43,0.49,0.45
old library,grassland,serene,#F73F37,247,63,55,0.61,0.36,0.67
forest shrine,market,mysterious,#7EEBB4,126,235,180,0.66,0.92,0.49
abandoned railway,cave,energetic,#93FA30,147,250,48,0.72,0.55,0.41
cyberpunk alley,nature,warm,#C25669,194,86,105,0.24,0.12,0.87
lantern-lit street,wood,intense,#449B44,68,155,68,0.48,0.97,0.35
old library,sand,focused,#4E9EF3,78,158,243,0.86,0.94,0.35
old library,wood,warm,#655B8B,101,91,139,0.84,0.83,0.87
urban rooftop,grassland,mysterious,#D8A7E8,216,167,232,0.65,0.65,0.38
stormy coastline,wood,excited,#63F955,99,249,85,0.83,0.37,0.7
lantern-lit street,artificial-light,melancholic,#22C35E,34,195,94,1.0,0.27,0.92
sunrise beach,grassland,energetic,#95B74F,149,183,79,0.45,0.52,0.71
ancient temple,metal/rust,playful,#DC5B86,220,91,134,0.89,0.4,0.78
neon arcade room,grassland,peaceful,#5C1EC5,92,30,197,0.19,0.68,0.92
abandoned railway,artificial-light,melancholic,#6DCA65,109,202,101,0.86,0.61,0.54
neon arcade room,fog/mist,energetic,#F1113E,241,17,62,0.17,0.41,0.36
enchanted garden,lab,focused,#B08EFB,176,142,251,0.95,0.85,0.5
mossy cave,wood,serene,#AFD447,175,212,71,0.3,0.1,0.37
mossy cave,rain,serene,#2D78C2,45,120,194,0.63,0.1,0.71
underground bunker,underground,melancholic,#6D7E45,109,126,69,0.39,0.51,0.94
quiet meadow,urban,peaceful,#1C2B78,28,43,120,0.74,0.66,0.45
neon arcade room,urban,playful,#387D09,56,125,9,0.88,0.26,0.42
lantern-lit street,concrete,dark,#BE780A,190,120,10,0.31,0.77,0.37
mossy cave,garden,focused,#CF75A8,207,117,168,0.93,0.57,0.58
lantern-lit street,nature,excited,#849141,132,145,65,0.76,0.93,0.33
rainy night market,wood,happy,#1216CD,18,22,205,0.82,0.96,0.59
dilapidated warehouse,grassland,calm,#71364B,113,54,75,0.77,0.43,0.49
mossy cave,cave,excited,#9BBB06,155,187,6,0.9,0.45,0.49
sunrise beach,coast,calm,#3730D4,55,48,212,0.13,0.97,0.56
lantern-lit street,nature,romantic,#EE3BAA,238,59,170,0.7,0.79,0.97
crystal cavern,sand,melancholic,#3A78A4,58,120,164,0.77,0.16,0.71
cyberpunk alley,crystal,focused,#31A18A,49,161,138,0.53,0.33,0.77
desert highway,lab,lonely,#273521,39,53,33,0.64,0.43,0.57
quiet meadow,cave,melancholic,#709B40,112,155,64,0.28,0.35,1.0
futuristic lab,lab,playful,#AFAD99,175,173,153,0.39,0.15,0.7
stormy coastline,cyber,nostalgic,#4AD35D,74,211,93,0.5,0.24,0.4
desert highway,temple,melancholic,#06B3E8,6,179,232,0.6,0.12,0.72
dilapidated warehouse,metal/rust,lonely,#4DAD60,77,173,96,0.74,0.79,0.55
quiet meadow,coast,serene,#CEA653,206,166,83,0.5,0.78,0.52
lantern-lit street,temple,happy,#A8DA25,168,218,37,0.55,0.27,0.96
enchanted garden,crystal,calm,#40D2D3,64,210,211,0.47,0.5,0.34
enchanted garden,cave,energetic,#F6A5C8,246,165,200,0.67,0.78,0.47
lantern-lit street,metal/rust,peaceful,#B553EE,181,83,238,0.95,0.78,0.58
ancient temple,market,nostalgic,#FA333C,250,51,60,0.43,0.63,0.97
cyberpunk alley,temple,excited,#10DB4E,16,219,78,0.82,0.22,0.9
old library,cyber,calm,#2AF02F,42,240,47,0.24,0.88,0.66
abandoned railway,crystal,focused,#75D88D,117,216,141,0.62,0.25,0.44
mossy cave,crystal,nostalgic,#07AE6F,7,174,111,0.74,0.76,0.35
cyberpunk alley,grassland,energetic,#992E73,153,46,115,0.24,0.65,0.63
lantern-lit street,sand,happy,#98A3B8,152,163,184,0.61,0.48,0.65
crystal cavern,urban,focused,#9C6881,156,104,129,0.67,0.15,0.7
rainy night market,garden,energetic,#01DB03,1,219,3,0.93,0.94,0.75
desert highway,stone,excited,#197890,25,120,144,0.61,0.15,0.43
neon arcade room,nature,intense,#ED0D64,237,13,100,0.37,0.25,0.55
ancient temple,garden,excited,#1CFA87,28,250,135,0.9,0.53,0.64
neon arcade room,crystal,serene,#1FBBE6,31,187,230,0.36,0.36,0.67
mossy cave,metal/rust,melancholic,#80387C,128,56,124,0.62,0.38,0.98
dilapidated warehouse,nature,intense,#C5C77E,197,199,126,0.85,0.27,0.81
crystal cavern,crystal,warm,#CB39A1,203,57,161,0.12,0.81,0.42
crystal cavern,urban,playful,#94904A,148,144,74,0.89,0.21,1.0
enchanted garden,temple,energetic,#1BA148,27,161,72,0.5,0.81,0.97
quiet meadow,cave,nostalgic,#FBFDEE,251,253,238,0.55,0.75,0.91
cyberpunk alley,coast,mysterious,#9A9A4F,154,154,79,0.82,0.61,0.88
desert highway,temple,melancholic,#8D1D90,141,29,144,0.27,0.84,0.74
forest shrine,market,warm,#960DBE,150,13,190,0.38,0.28,0.36
quiet meadow,cyber,happy,#3873A9,56,115,169,0.33,0.83,0.63
urban rooftop,metal/rust,mysterious,#9C029D,156,2,157,0.68,0.68,0.58
ancient temple,market,romantic,#06B5FB,6,181,251,0.14,0.28,0.87
mossy cave,coast,excited,#531A6A,83,26,106,0.38,0.81,0.43
crystal cavern,nature,dark,#26EF87,38,239,135,0.82,0.72,0.96
underground bunker,metal/rust,melancholic,#868B06,134,139,6,0.88,0.15,0.88
quiet meadow,cave,excited,#D19E76,209,158,118,0.55,0.33,0.73
old library,cyber,warm,#92C62E,146,198,46,0.93,0.27,0.43
dilapidated warehouse,coast,calm,#2A9C34,42,156,52,0.17,0.71,0.3
underground bunker,garden,serene,#BDB1A1,189,177,161,0.51,0.58,0.77
old library,nature,mysterious,#DF0AB1,223,10,177,0.78,0.77,0.35
ancient temple,nature,calm,#5077AA,80,119,170,0.58,0.55,0.42
stormy coastline,metal/rust,excited,#201E7A,32,30,122,0.45,0.93,0.55
old library,cyber,peaceful,#6EFB03,110,251,3,0.8,0.42,0.96
old library,cave,happy,#5746B9,87,70,185,0.46,0.61,0.62
enchanted garden,cave,excited,#ACA086,172,160,134,0.49,0.27,0.43
crystal cavern,urban,peaceful,#205EA8,32,94,168,0.63,0.67,0.95
desert highway,cyber,energetic,#4D234E,77,35,78,0.89,0.79,0.43
stormy coastline,market,excited,#FC9413,252,148,19,0.5,0.9,0.58
stormy coastline,urban,dark,#4DA76E,77,167,110,0.24,0.42,0.86
dilapidated warehouse,concrete,playful,#FD3A27,253,58,39,0.11,0.5,0.96
dilapidated warehouse,metal/rust,calm,#15475E,21,71,94,0.56,0.95,0.65
dilapidated warehouse,garden,focused,#0C64A6,12,100,166,0.16,0.19,0.98
crystal cavern,market,excited,#753FA9,117,63,169,0.29,0.75,0.94
quiet meadow,underground,lonely,#EEE655,238,230,85,0.66,0.75,0.46
quiet meadow,market,energetic,#CB8B9C,203,139,156,0.84,0.84,0.31
cyberpunk alley,rain,playful,#C7433B,199,67,59,0.8,0.13,0.31
stormy coastline,cyber,serene,#6EDB3A,110,219,58,0.89,0.39,0.93
enchanted garden,garden,peaceful,#ED6A6E,237,106,110,0.29,0.13,0.7
desert highway,cyber,nostalgic,#36C100,54,193,0,0.91,0.68,0.65
cyberpunk alley,coast,lonely,#7C42C6,124,66,198,0.89,0.68,0.58
forest shrine,metal/rust,calm,#1EAF6E,30,175,110,0.2,0.18,0.43
abandoned railway,lab,excited,#7B0BD9,123,11,217,0.18,0.86,0.64
underground bunker,nature,dark,#3A19C0,58,25,192,0.64,0.93,0.39
forest shrine,crystal,serene,#38BB2E,56,187,46,0.55,0.7,0.85
enchanted garden,sand,excited,#C3D865,195,216,101,0.65,0.86,0.54
cyberpunk alley,cave,excited,#B59EFC,181,158,252,0.25,0.69,0.89
futuristic lab,grassland,dark,#272EE6,39,46,230,0.11,0.32,0.51
ancient temple,sand,warm,#6C17F0,108,23,240,0.5,0.95,0.85
foggy mountain trail,urban,romantic,#BFCD1C,191,205,28,0.74,0.94,0.35
neon arcade room,cyber,excited,#79E000,121,224,0,1.0,0.82,0.55
neon arcade room,artificial-light,lonely,#AA07EE,170,7,238,0.28,0.41,0.61
enchanted garden,garden,serene,#A82D22,168,45,34,0.2,0.89,0.35
abandoned railway,nature,intense,#438BD0,67,139,208,0.7,0.25,0.47
rainy night market,nature,dark,#449790,68,151,144,0.12,0.55,0.49
foggy mountain trail,coast,happy,#5EBDCD,94,189,205,0.2,0.49,0.81
abandoned railway,grassland,playful,#963416,150,52,22,0.25,0.18,0.88
rainy night market,stone,playful,#AD2C1B,173,44,27,0.81,0.29,0.63
desert highway,cave,romantic,#DD233E,221,35,62,0.63,0.16,0.9
desert highway,metal/rust,excited,#32661D,50,102,29,0.41,0.67,0.79
forest shrine,grassland,happy,#F6DD17,246,221,23,0.24,0.15,0.89
quiet meadow,fog/mist,energetic,#E29E4E,226,158,78,0.47,0.63,0.35
stormy coastline,cyber,serene,#062EA3,6,46,163,0.69,0.11,0.9
foggy mountain trail,cave,intense,#95B3BA,149,179,186,0.63,0.44,0.6
urban rooftop,sand,nostalgic,#AB85EB,171,133,235,0.23,0.24,0.45
cyberpunk alley,urban,calm,#E3475E,227,71,94,0.42,0.22,0.67
abandoned railway,nature,intense,#2A2C8C,42,44,140,0.32,0.38,0.73
abandoned railway,wood,mysterious,#B1F195,177,241,149,0.47,0.69,0.97
enchanted garden,cyber,happy,#405928,64,89,40,0.19,1.0,0.98
cyberpunk alley,lab,intense,#ABBF04,171,191,4,0.55,0.46,0.68
mossy cave,sand,happy,#A1325F,161,50,95,0.68,0.6,0.9
sunrise beach,artificial-light,playful,#E2A532,226,165,50,0.45,0.62,0.91
rainy night market,artificial-light,focused,#9CC0C1,156,192,193,0.22,0.99,0.67
neon arcade room,rain,focused,#6C66BC,108,102,188,0.42,0.89,0.73
abandoned railway,cyber,playful,#EA9777,234,151,119,0.5,0.48,0.55
abandoned railway,garden,dark,#83BE0C,131,190,12,0.82,0.84,0.4
sunrise beach,temple,nostalgic,#D25C67,210,92,103,0.75,0.4,0.84
foggy mountain trail,urban,calm,#025004,2,80,4,0.21,0.15,0.52
crystal cavern,market,focused,#70B601,112,182,1,0.55,0.71,0.96
foggy mountain trail,temple,melancholic,#0AA5AE,10,165,174,0.77,0.69,0.62
foggy mountain trail,wood,dark,#DF968F,223,150,143,0.94,0.15,0.84
neon arcade room,artificial-light,energetic,#CC6372,204,99,114,0.37,0.65,0.44
rainy night market,garden,excited,#2FFF5A,47,255,90,0.23,0.7,0.76
rainy night market,temple,warm,#81CCE9,129,204,233,0.41,0.31,0.94
underground bunker,crystal,romantic,#466A52,70,106,82,0.28,0.97,0.76
enchanted garden,temple,lonely,#C22079,194,32,121,0.34,0.9,0.64
lantern-lit street,garden,lonely,#324747,50,71,71,0.68,0.66,0.9
ancient temple,underground,nostalgic,#78A40D,120,164,13,0.19,0.2,0.87
ancient temple,sand,calm,#503D3D,80,61,61,0.83,0.97,0.47
crystal cavern,fog/mist,melancholic,#72C4B9,114,196,185,0.12,0.32,0.93
crystal cavern,urban,dark,#F49CF4,244,156,244,0.48,0.18,0.36
dilapidated warehouse,metal/rust,happy,#4B13A0,75,19,160,0.26,0.19,0.75
ancient temple,fog/mist,peaceful,#34982B,52,152,43,0.4,0.88,0.85
foggy mountain trail,nature,playful,#7E926C,126,146,108,0.97,0.54,0.5
neon arcade room,sand,mysterious,#FFD3FD,255,211,253,0.83,0.52,0.66
quiet meadow,underground,mysterious,#36D65A,54,214,90,0.38,0.24,0.83
