material,surface,emotion,hex,r,g,b,reflectivity,roughness
stone,porous,mysterious,#58883B,88,136,59,0.46,0.06
ceramic,glossy,bright,#FA87FB,250,135,251,0.62,0.77
aluminum,soft-touch,bright,#BDD8EB,189,216,235,0.2,0.29
glass,aged,energetic,#3368FF,51,104,255,0.74,0.43
carbon fiber,porous,professional,#BCCA00,188,202,0,0.55,0.66
sand,raw,bright,#3F7DEA,63,125,234,0.57,0.86
bronze,satin,natural,#C03C77,192,60,119,0.75,0.56
fabric,glossy,energetic,#7391C8,115,145,200,0.73,0.46
tile,polished,cold,#E2069B,226,6,155,0.79,0.7
carbon fiber,satin,calm,#C16F18,193,111,24,0.88,0.91
carbon fiber,coated,professional,#7CE97E,124,233,126,0.7,0.74
plastic,matte,soft,#BB60DB,187,96,219,0.1,0.52
concrete,polished,aggressive,#D7881D,215,136,29,0.35,0.15
metal,rough,playful,#834728,131,71,40,0.79,0.5
steel,distressed,bright,#E9F241,233,242,65,0.13,0.2
granite,smooth,playful,#B0638C,176,99,140,0.43,0.93
foam,translucent,cold,#45F096,69,240,150,0.25,0.55
brass,satin,playful,#F074EF,240,116,239,0.65,0.01
sand,reflective,cold,#D9DAD1,217,218,209,0.4,0.78
aluminum,distressed,warm,#8CC363,140,195,99,0.94,0.1
copper,rough,aggressive,#A4DEB4,164,222,180,0.89,0.54
tile,glossy,muted,#A41012,164,16,18,0.71,0.59
paper,porous,bright,#C43450,196,52,80,0.95,0.12
sand,aged,muted,#8A3772,138,55,114,0.24,0.9
granite,opaque,aggressive,#20AE2B,32,174,43,0.84,0.4
bronze,lacquered,aggressive,#10FA0F,16,250,15,0.62,0.91
metal,smooth,mysterious,#476AA0,71,106,160,0.78,0.67
paper,polished,mysterious,#EBD4E0,235,212,224,0.23,0.43
metal,smooth,bright,#C3A92F,195,169,47,0.66,0.96
brass,coated,bright,#165214,22,82,20,0.76,0.15
fabric,coated,mysterious,#D6A4CE,214,164,206,0.43,0.69
velvet,aged,luxury,#B3A78B,179,167,139,0.31,0.54
tile,distressed,soft,#E92A36,233,42,54,0.86,0.91
wood,distressed,neutral,#5E9AB9,94,154,185,0.84,0.83
wood,soft-touch,neutral,#854712,133,71,18,0.31,0.78
stone,aged,soft,#E44D05,228,77,5,0.16,0.89
wood,textured,cold,#BC5EA3,188,94,163,0.67,0.39
steel,aged,soft,#163266,22,50,102,0.32,0.58
stone,raw,natural,#F76D91,247,109,145,0.24,0.01
clay,grainy,mysterious,#DEAC0B,222,172,11,0.39,0.8
rubber,aged,luxury,#1D4490,29,68,144,0.11,0.83
paper,soft-touch,mysterious,#6A595C,106,89,92,0.59,0.49
foam,lacquered,professional,#3B6CE2,59,108,226,0.64,0.54
foam,raw,aggressive,#F87FC4,248,127,196,0.87,0.67
sand,smooth,muted,#98DA2C,152,218,44,0.8,0.37
stone,polished,natural,#14B380,20,179,128,0.78,0.96
copper,coated,warm,#C365A7,195,101,167,0.36,0.98
stone,translucent,luxury,#94133A,148,19,58,0.62,0.26
steel,translucent,playful,#E81425,232,20,37,0.8,0.85
bronze,glossy,mysterious,#CFED2E,207,237,46,0.73,0.08
fabric,grainy,natural,#E0A744,224,167,68,0.45,0.6
clay,satin,muted,#A64CDC,166,76,220,0.22,0.28
bronze,weathered,muted,#64775A,100,119,90,0.71,0.38
brass,coated,playful,#C8A295,200,162,149,0.81,0.15
paper,aged,muted,#86BAE6,134,186,230,0.73,0.43
rubber,opaque,calm,#0A16AF,10,22,175,0.87,0.17
fabric,porous,calm,#E6A62B,230,166,43,0.87,0.6
granite,smooth,bright,#37E3FD,55,227,253,0.41,0.91
foam,rough,mysterious,#3C5C5C,60,92,92,0.14,0.34
brass,aged,energetic,#58B4C7,88,180,199,0.4,0.36
fabric,reflective,warm,#23DF9F,35,223,159,0.38,0.84
metal,translucent,energetic,#45C8DF,69,200,223,0.89,0.59
copper,satin,playful,#74FDA3,116,253,163,0.73,0.3
plastic,textured,bright,#F3AC50,243,172,80,0.89,0.62
foam,coated,natural,#C02771,192,39,113,0.44,0.76
clay,polished,mysterious,#FC0BE7,252,11,231,0.57,0.35
wood,coated,warm,#D82044,216,32,68,0.37,0.79
leather,brushed,luxury,#15F4BD,21,244,189,0.65,0.45
sand,polished,cold,#B41475,180,20,117,0.9,0.87
marble,glossy,mysterious,#D658AF,214,88,175,0.8,0.25
plastic,raw,bright,#D635AF,214,53,175,0.37,0.06
plastic,glossy,aggressive,#2E1490,46,20,144,0.69,0.34
sand,glossy,aggressive,#042FB4,4,47,180,0.46,0.66
steel,reflective,energetic,#4174A7,65,116,167,0.43,0.4
copper,distressed,muted,#2FFB20,47,251,32,0.54,0.75
fabric,lacquered,bright,#4B01FC,75,1,252,0.73,0.87
glass,soft-touch,muted,#5E181B,94,24,27,0.4,0.17
fabric,opaque,aggressive,#E65865,230,88,101,0.18,0.64
paper,translucent,professional,#9F096C,159,9,108,0.69,0.59
stone,raw,aggressive,#3B6799,59,103,153,0.63,0.05
metal,soft-touch,playful,#DDDD9F,221,221,159,0.24,0.99
foam,translucent,natural,#4E9A39,78,154,57,0.5,0.33
marble,weathered,energetic,#38E449,56,228,73,0.36,0.7
ceramic,grainy,muted,#88D071,136,208,113,0.32,0.23
clay,soft-touch,aggressive,#DAE6D5,218,230,213,0.9,0.19
rubber,porous,neutral,#7CD047,124,208,71,0.16,0.11
concrete,raw,neutral,#363179,54,49,121,0.76,0.65
bronze,brushed,aggressive,#A10CF2,161,12,242,0.8,0.82
carbon fiber,porous,neutral,#853DF9,133,61,249,0.56,0.34
leather,lacquered,warm,#BEC3F5,190,195,245,0.55,0.35
wood,distressed,soft,#A0DCB2,160,220,178,0.64,0.61
fabric,raw,soft,#2C4938,44,73,56,0.31,0.92
ceramic,soft-touch,calm,#1A26A7,26,38,167,0.36,0.61
stone,lacquered,calm,#F374BC,243,116,188,0.5,0.64
concrete,satin,calm,#84F321,132,243,33,0.64,0.2
wood,opaque,calm,#AEEF38,174,239,56,0.79,0.68
plastic,porous,aggressive,#BB5369,187,83,105,0.9,0.27
rubber,coated,luxury,#CD94C5,205,148,197,0.61,0.51
rubber,weathered,professional,#A3FFA3,163,255,163,0.47,0.71
bronze,grainy,mysterious,#D42E72,212,46,114,0.6,0.38
carbon fiber,soft-touch,mysterious,#F1E485,241,228,133,0.61,0.13
steel,satin,luxury,#CB2C9B,203,44,155,0.57,0.63
fabric,rough,professional,#80537C,128,83,124,0.53,0.43
sand,aged,mysterious,#32402D,50,64,45,0.38,0.44
wood,raw,cold,#C5D390,197,211,144,0.51,0.31
stone,lacquered,soft,#91E397,145,227,151,0.44,0.98
brass,grainy,neutral,#DC2741,220,39,65,0.34,0.52
fabric,glossy,soft,#EBBF5C,235,191,92,0.72,0.56
wood,raw,professional,#294065,41,64,101,0.93,0.23
leather,rough,bright,#81E901,129,233,1,0.37,1.0
granite,lacquered,luxury,#6E4C47,110,76,71,0.83,0.14
foam,distressed,warm,#E9DC4C,233,220,76,0.83,0.01
carbon fiber,satin,natural,#B992C0,185,146,192,0.56,0.7
aluminum,brushed,bright,#77FD03,119,253,3,0.76,0.85
marble,lacquered,natural,#5C4648,92,70,72,0.27,0.75
steel,opaque,luxury,#E918DE,233,24,222,0.87,0.54
clay,coated,soft,#215063,33,80,99,0.85,0.79
fabric,translucent,luxury,#F71EDE,247,30,222,0.39,0.92
stone,glossy,neutral,#354CE7,53,76,231,0.51,0.26
stone,porous,bright,#AD2180,173,33,128,0.15,0.77
steel,polished,luxury,#E4D4D7,228,212,215,0.9,0.15
sand,soft-touch,neutral,#FB2FFF,251,47,255,0.18,0.04
sand,rough,muted,#E18716,225,135,22,0.74,0.8
sand,translucent,neutral,#85C4B7,133,196,183,0.86,0.13
carbon fiber,reflective,luxury,#1BDAA1,27,218,161,0.43,0.08
carbon fiber,coated,professional,#D0A089,208,160,137,0.49,0.24
ceramic,satin,energetic,#5980AE,89,128,174,0.49,0.03
copper,rough,luxury,#79B0B0,121,176,176,0.81,0.96
carbon fiber,smooth,luxury,#319948,49,153,72,0.31,0.64
aluminum,smooth,energetic,#12254D,18,37,77,0.44,0.48
tile,rough,professional,#01CC2C,1,204,44,0.88,0.75
aluminum,satin,bright,#F5A362,245,163,98,0.14,0.33
aluminum,aged,cold,#266C53,38,108,83,0.64,0.55
ceramic,matte,cold,#4249B4,66,73,180,0.39,0.26
stone,textured,warm,#05676D,5,103,109,0.9,0.64
steel,satin,warm,#3736AD,55,54,173,0.28,0.99
steel,raw,soft,#9B94CB,155,148,203,0.52,0.23
velvet,polished,soft,#E70EF4,231,14,244,0.2,0.01
stone,lacquered,natural,#EE8C4E,238,140,78,0.49,0.44
marble,brushed,playful,#C97C09,201,124,9,0.27,0.63
clay,reflective,luxury,#D9B8C5,217,184,197,0.33,0.37
rubber,translucent,bright,#D5A545,213,165,69,0.71,0.07
steel,aged,playful,#554B92,85,75,146,0.36,0.19
ceramic,distressed,cold,#55A09C,85,160,156,0.58,0.62
aluminum,porous,playful,#D85C1D,216,92,29,0.61,0.66
carbon fiber,distressed,warm,#6B880E,107,136,14,0.95,0.99
tile,lacquered,natural,#434604,67,70,4,0.72,0.9
rubber,rough,professional,#D31714,211,23,20,0.6,0.97
carbon fiber,reflective,professional,#B2D116,178,209,22,0.2,0.68
rubber,matte,cold,#D0D8EE,208,216,238,0.66,0.94
steel,translucent,calm,#743F66,116,63,102,0.94,0.35
rubber,glossy,calm,#E6D0B2,230,208,178,0.19,0.61
stone,reflective,professional,#4C5AE1,76,90,225,0.5,0.97
paper,textured,soft,#2888CB,40,136,203,0.9,0.3
concrete,matte,calm,#A96B82,169,107,130,0.42,0.01
marble,weathered,playful,#11C3CA,17,195,202,0.55,0.87
clay,distressed,neutral,#67D5DF,103,213,223,0.44,0.06
tile,brushed,neutral,#CCE463,204,228,99,0.87,0.22
tile,glossy,cold,#BCCA2C,188,202,44,0.2,0.28
rubber,textured,soft,#9A88EB,154,136,235,0.9,0.42
stone,raw,warm,#27629C,39,98,156,0.31,0.73
sand,raw,soft,#4C43D4,76,67,212,0.11,0.33
tile,lacquered,warm,#9E80A5,158,128,165,0.23,0.64
steel,textured,aggressive,#B9A48C,185,164,140,0.15,0.01
bronze,glossy,energetic,#55475E,85,71,94,0.28,0.79
copper,opaque,neutral,#FD5D15,253,93,21,0.31,0.12
tile,rough,playful,#BDF967,189,249,103,0.37,0.16
stone,lacquered,natural,#8D725A,141,114,90,0.93,0.83
velvet,glossy,professional,#9621EB,150,33,235,0.69,0.13
tile,opaque,calm,#0A8B23,10,139,35,0.82,0.93
tile,polished,neutral,#AA152C,170,21,44,0.82,0.75
wood,lacquered,playful,#AF6211,175,98,17,0.89,0.5
wood,polished,soft,#9C530C,156,83,12,0.67,0.73
fabric,soft-touch,cold,#5A0CFF,90,12,255,0.13,0.45
clay,weathered,muted,#AF00E4,175,0,228,0.59,0.89
ceramic,brushed,warm,#377694,55,118,148,0.1,0.99
velvet,coated,neutral,#823DDE,130,61,222,0.29,0.28
wood,satin,professional,#268394,38,131,148,0.95,0.52
granite,translucent,luxury,#8379A0,131,121,160,0.34,0.19
sand,grainy,warm,#7A529A,122,82,154,0.46,0.58
marble,brushed,calm,#2B4865,43,72,101,0.13,0.56
wood,distressed,neutral,#67BFFF,103,191,255,0.26,0.27
aluminum,grainy,luxury,#C8360E,200,54,14,0.42,0.45
glass,polished,cold,#0DCE0D,13,206,13,0.44,0.64
granite,smooth,warm,#1EA3C1,30,163,193,0.39,0.08
rubber,polished,calm,#A0B944,160,185,68,0.42,0.16
plastic,textured,calm,#49CB0F,73,203,15,0.45,0.9
ceramic,satin,bright,#433E2D,67,62,45,0.95,0.95
velvet,opaque,neutral,#315234,49,82,52,0.17,0.45
stone,rough,aggressive,#B2B1FB,178,177,251,0.36,0.47
clay,glossy,calm,#2B1735,43,23,53,0.47,0.7
velvet,opaque,warm,#3F25C7,63,37,199,0.36,0.43
paper,translucent,warm,#1FA8B3,31,168,179,0.13,0.93
rubber,coated,aggressive,#94CC09,148,204,9,0.82,0.38
paper,rough,muted,#13EDAD,19,237,173,0.26,0.96
granite,lacquered,soft,#11E799,17,231,153,0.34,0.7
marble,brushed,professional,#95EBC6,149,235,198,0.63,0.56
concrete,rough,muted,#D8A097,216,160,151,0.14,0.02
marble,brushed,professional,#3045DA,48,69,218,0.27,0.89
aluminum,matte,soft,#E94A59,233,74,89,0.53,0.39
aluminum,satin,natural,#23EF17,35,239,23,0.42,0.42
clay,porous,playful,#8A27B3,138,39,179,0.38,0.23
aluminum,grainy,warm,#0EF454,14,244,84,0.89,0.67
brass,brushed,calm,#332C07,51,44,7,0.68,0.52
carbon fiber,glossy,calm,#BB606E,187,96,110,0.28,0.62
clay,aged,cold,#23A4F3,35,164,243,0.52,0.0
paper,porous,energetic,#E33476,227,52,118,0.76,0.76
stone,lacquered,muted,#0FF338,15,243,56,0.46,0.37
ceramic,lacquered,cold,#D2812A,210,129,42,0.47,0.62
sand,coated,neutral,#C401E4,196,1,228,0.13,0.24
glass,opaque,professional,#0E566A,14,86,106,0.33,0.34
steel,glossy,luxury,#270921,39,9,33,0.11,0.06
plastic,raw,mysterious,#8F6EC4,143,110,196,0.92,0.99
rubber,aged,warm,#A8AF37,168,175,55,0.46,0.8
sand,brushed,bright,#EA6FA4,234,111,164,0.4,0.28
paper,brushed,warm,#55119C,85,17,156,0.15,0.29
granite,opaque,professional,#24C710,36,199,16,0.4,0.01
leather,rough,mysterious,#CD32D2,205,50,210,0.69,0.89
aluminum,smooth,soft,#A7FAEE,167,250,238,0.3,0.51
ceramic,brushed,mysterious,#DE62D6,222,98,214,0.6,0.09
bronze,translucent,mysterious,#E9C2D9,233,194,217,0.1,0.58
paper,brushed,natural,#E6CBAF,230,203,175,0.42,0.72
carbon fiber,raw,natural,#B0E34E,176,227,78,0.6,0.48
granite,brushed,soft,#75FBA3,117,251,163,0.79,0.49
ceramic,grainy,muted,#AD7814,173,120,20,0.2,0.31
bronze,distressed,mysterious,#679F27,103,159,39,0.43,0.59
wood,raw,professional,#004453,0,68,83,0.17,0.95
plastic,textured,muted,#A88487,168,132,135,0.26,0.68
aluminum,lacquered,warm,#D3B4B2,211,180,178,0.77,0.36
metal,matte,luxury,#08C511,8,197,17,0.76,0.69
metal,rough,aggressive,#BA6B20,186,107,32,0.78,0.84
stone,textured,neutral,#EA92A7,234,146,167,0.28,0.38
concrete,rough,playful,#82DA6F,130,218,111,0.32,0.22
rubber,coated,soft,#F991AE,249,145,174,0.27,0.77
ceramic,soft-touch,soft,#D90DDD,217,13,221,0.7,0.96
fabric,matte,natural,#39EA37,57,234,55,0.36,0.42
clay,porous,natural,#50AE96,80,174,150,0.21,0.83
plastic,coated,professional,#79ED1C,121,237,28,0.88,0.94
steel,aged,luxury,#BA436A,186,67,106,0.52,0.51
clay,matte,luxury,#3602DE,54,2,222,0.2,0.59
paper,lacquered,natural,#79A9B7,121,169,183,0.16,0.02
metal,raw,soft,#106EDC,16,110,220,0.73,0.05
stone,glossy,aggressive,#22121F,34,18,31,0.71,0.05
sand,lacquered,aggressive,#D91FD3,217,31,211,0.16,0.78
fabric,coated,cold,#CB0CFD,203,12,253,0.11,0.96
steel,satin,soft,#E31875,227,24,117,0.51,0.85
leather,polished,mysterious,#CCE672,204,230,114,0.13,0.73
rubber,coated,professional,#CF50B8,207,80,184,0.63,0.47
aluminum,distressed,bright,#6A6B91,106,107,145,0.58,0.55
tile,translucent,playful,#DA2402,218,36,2,0.68,0.92
stone,brushed,cold,#7E7F1F,126,127,31,0.57,0.05
concrete,smooth,energetic,#8C6E17,140,110,23,0.34,0.22
velvet,soft-touch,playful,#691E26,105,30,38,0.57,0.54
plastic,matte,muted,#2B2A20,43,42,32,0.87,0.06
paper,polished,playful,#A4584A,164,88,74,0.57,0.4
glass,coated,mysterious,#E5BB9E,229,187,158,0.84,0.67
concrete,soft-touch,calm,#F67358,246,115,88,0.77,0.0
carbon fiber,reflective,soft,#AF7BFA,175,123,250,0.61,0.47
leather,weathered,calm,#E58BCC,229,139,204,0.56,0.9
carbon fiber,reflective,mysterious,#634C27,99,76,39,0.29,0.31
steel,soft-touch,cold,#C65215,198,82,21,0.29,0.95
steel,reflective,luxury,#D55884,213,88,132,0.63,0.53
aluminum,textured,bright,#B018FE,176,24,254,0.92,0.65
ceramic,distressed,luxury,#EF8CDF,239,140,223,0.76,0.9
paper,grainy,mysterious,#9DF05A,157,240,90,0.67,0.35
brass,matte,cold,#2E3C5A,46,60,90,0.46,0.23
ceramic,aged,muted,#D83E13,216,62,19,0.31,0.49
bronze,grainy,muted,#1892B8,24,146,184,0.2,0.56
steel,coated,natural,#0A75CB,10,117,203,0.17,0.29
metal,glossy,neutral,#5BE492,91,228,146,0.3,0.3
granite,smooth,cold,#356D94,53,109,148,0.55,0.63
brass,lacquered,bright,#A73944,167,57,68,0.51,0.71
plastic,porous,soft,#64A58B,100,165,139,0.21,0.21
wood,lacquered,luxury,#6C6B5A,108,107,90,0.25,0.62
wood,satin,soft,#B870D9,184,112,217,0.24,0.17
metal,textured,calm,#59D9DD,89,217,221,0.41,0.67
copper,coated,energetic,#ACE286,172,226,134,0.34,0.19
wood,porous,aggressive,#0AEDE2,10,237,226,0.34,0.94
fabric,aged,mysterious,#4C0C30,76,12,48,0.49,0.26
tile,lacquered,playful,#54E0F4,84,224,244,0.9,0.09
velvet,satin,cold,#1C51AE,28,81,174,0.35,0.72
sand,opaque,neutral,#CA52BD,202,82,189,0.73,0.68
glass,glossy,luxury,#8783E7,135,131,231,0.31,0.04
paper,translucent,calm,#212945,33,41,69,0.4,0.31
wood,coated,soft,#1D7C0C,29,124,12,0.6,0.48
tile,smooth,calm,#E041ED,224,65,237,0.68,0.53
ceramic,translucent,cold,#3FFAAE,63,250,174,0.39,0.41
bronze,lacquered,bright,#82F774,130,247,116,0.79,0.63
sand,lacquered,warm,#298E30,41,142,48,0.13,0.94
foam,grainy,natural,#0E9AAE,14,154,174,0.53,0.37
plastic,smooth,bright,#9E7571,158,117,113,0.66,0.66
plastic,rough,neutral,#C8542A,200,84,42,0.27,0.83
marble,distressed,aggressive,#68FCAB,104,252,171,0.33,0.54
foam,coated,natural,#665F0D,102,95,13,0.11,0.71
copper,lacquered,warm,#D75E18,215,94,24,0.62,0.33
clay,brushed,mysterious,#D08143,208,129,67,0.32,0.83
plastic,textured,neutral,#8EB1F0,142,177,240,0.52,0.27
clay,distressed,muted,#4C1654,76,22,84,0.86,0.69
paper,grainy,soft,#9D70AD,157,112,173,0.83,0.68
concrete,porous,cold,#78C7F2,120,199,242,0.71,0.64
leather,satin,mysterious,#7F9C4A,127,156,74,0.5,0.37
aluminum,aged,bright,#DFCACF,223,202,207,0.69,0.32
wood,distressed,soft,#599884,89,152,132,0.65,0.38
paper,soft-touch,natural,#1C9C43,28,156,67,0.71,0.88
leather,raw,luxury,#91111D,145,17,29,0.82,0.13
leather,soft-touch,playful,#3B6F79,59,111,121,0.25,0.76
leather,grainy,professional,#BB82D2,187,130,210,0.66,0.24
granite,porous,aggressive,#87EE98,135,238,152,0.61,0.01
paper,raw,playful,#549474,84,148,116,0.7,0.05
fabric,grainy,luxury,#5047E6,80,71,230,0.7,0.66
paper,translucent,calm,#ABA455,171,164,85,0.32,0.4
concrete,coated,luxury,#5FCE97,95,206,151,0.79,0.85
marble,raw,aggressive,#653A5E,101,58,94,0.41,0.5
stone,reflective,aggressive,#382395,56,35,149,0.23,0.37
plastic,distressed,cold,#98D0CF,152,208,207,0.39,0.06
plastic,aged,muted,#75D460,117,212,96,0.89,0.24
copper,lacquered,warm,#33BE39,51,190,57,0.61,0.21
foam,rough,warm,#ABF57E,171,245,126,0.38,0.28
brass,polished,energetic,#2CC1AD,44,193,173,0.7,0.72
ceramic,lacquered,muted,#F16BA0,241,107,160,0.11,0.48
carbon fiber,polished,soft,#5F8DCD,95,141,205,0.48,0.67
glass,matte,luxury,#BB4CD9,187,76,217,0.71,0.52
leather,satin,calm,#F266D1,242,102,209,0.21,0.08
concrete,textured,playful,#711D59,113,29,89,0.92,0.0
sand,glossy,luxury,#657000,101,112,0,0.93,0.89
brass,distressed,soft,#AB4D69,171,77,105,0.69,0.92
velvet,matte,muted,#8705C2,135,5,194,0.81,0.37
bronze,coated,natural,#A28110,162,129,16,0.52,0.07
fabric,lacquered,warm,#D4C388,212,195,136,0.12,0.48
brass,matte,mysterious,#C49F55,196,159,85,0.82,0.64
sand,soft-touch,cold,#C63A40,198,58,64,0.83,0.65
metal,brushed,playful,#055072,5,80,114,0.76,0.98
marble,lacquered,warm,#1C0E4B,28,14,75,0.61,0.36
bronze,rough,calm,#26D89E,38,216,158,0.88,0.52
